hyperlink,Link,Brand,Model,Min Micron (µm),Max Micron (µm),Grind Range (µm),Total Steps/Clicks,Step Type,Approx. µm per Step/Click,Grinder Characteristics & Coffee Brewing Notes,Verification Notes,notes formula
K3,https://honestcoffeeguide.com/kingrinder-k3-grind-settings/,Kingrinder,K3,0,1030,1030,90,External stepped dial,11.44444444,"A 48mm stainless steel conical-burr manual grinder with external numbered adjustment of around 90 clicks, offering fine espresso-oriented stepping. Solid anodized aluminum body with twin bearings for a stable grind axle and even output. Versatile across espresso, AeroPress, pour-over and French press with consistency that competes with pricier grinders. A well-rounded value pick in the Kingrinder external-adjust lineup.",OK - range matches source,
K4,https://honestcoffeeguide.com/kingrinder-k4-grind-settings/,Kingrinder,K4,0,1350,1350,240,External stepped dial,5.625,"A 48mm stainless steel conical-burr manual grinder with a fine external numbered dial giving 80 clicks per rotation across multiple rotations (read as rotation.click, e.g. 2.42). Premium aluminum body with high-precision dual bearings for excellent axle stability and uniform grinding. The fine stepping suits precise espresso dial-in while the wide range also covers cold brew and French press. One of the more capable, espresso-focused models in the K-series.",OK - range matches source,
K5,https://honestcoffeeguide.com/kingrinder-k5-grind-settings/,Kingrinder,K5,0,1030,1030,90,External stepped dial,11.44444444,"A 48mm stainless steel conical-burr manual grinder with external numbered click adjustment of about 90 clicks for repeatable fine control. Robust anodized aluminum housing with dual-bearing axle support for stable, consistent grinding. Handles espresso through coarse brew methods with strong uniformity for its class. A dependable mid-to-upper K-series external-adjust grinder offering good value.",OK - range matches source,
K6,https://honestcoffeeguide.com/kingrinder-k6-grind-settings/,Kingrinder,K6,0,1350,1350,240,External stepped dial,5.625,"A 48mm stainless steel conical-burr manual grinder with fine external numbered adjustment at 80 clicks per rotation (read as rotation.click) for precise espresso control. High-grade aluminum body with precision dual bearings delivering excellent grind stability and uniformity. The fine stepping and wide range make it strong for espresso while still covering filter, French press and cold brew. A flagship-level K-series grinder favored by espresso-focused home users.",OK - range matches source,
P0,https://honestcoffeeguide.com/kingrinder-p0-grind-settings/,Kingrinder,P0,0,1400,1400,130,Internal stepped (under-burr nut),10.76923077,"A 48mm stainless steel conical-burr manual grinder using an internal under-burr stepped adjustment rather than an external dial, with a wide range spanning espresso to cold brew. Aluminum body in the budget P-series, prioritizing simplicity and value over rapid external dial-in. Grind consistency is good for the price across filter, French press and espresso, though changing settings requires accessing the internal nut. Positioned as an affordable entry into Kingrinder hand grinders.",micron/step 33.3 per Kingrinder official (0.0333mm/click),
P1,https://honestcoffeeguide.com/kingrinder-p1-grind-settings/,Kingrinder,P1,0,1400,1400,130,Internal stepped (under-burr nut),10.76923077,"A 48mm stainless steel conical-burr manual grinder with internal stepped adjustment located beneath the burrs and a broad espresso-to-coarse range. Anodized aluminum construction with a detachable handle, sitting in the value-oriented internal-adjust P-series. Offers solid uniformity for filter, AeroPress, French press and espresso, with settings adjusted via the internal mechanism rather than a quick external dial. A capable budget hand grinder for users who set and forget their grind.",micron/step 33.3 per Kingrinder official (0.0333mm/click),
P2,https://honestcoffeeguide.com/kingrinder-p2-grind-settings/,Kingrinder,P2,0,1400,1400,130,Internal stepped (under-burr nut),10.76923077,"A 48mm stainless steel conical-burr manual grinder featuring internal under-burr stepped adjustment and a wide range covering espresso through cold brew. Sturdy aluminum body with dual-bearing support for stable grinding, the upper model of the internal-adjust P-series. Delivers good grind consistency across espresso and filter methods at a competitive price. Best suited to users comfortable adjusting internally rather than needing fast external dial-in.",micron/step 33.3 per Kingrinder official (0.0333mm/click),
M47 Classic,https://honestcoffeeguide.com/kinu-m47-classic-grind-settings/,Kinu,M47 Classic,0,1400,1400,85,"Stepless (numbered dial, ~5um per division)",16.47058824,"A premium German manual grinder with 47mm Black Fusion-coated stainless steel conical burrs and a heavy stainless steel/zinc-alloy body with auto-centering burr alignment. The stepless adjustment dial offers extremely fine resolution (around 5 microns per division) and a marked zero-point for repeatable settings, making it suitable for everything from Turkish and espresso through to coarse French press and cold brew. Built for durability and grind consistency, it is widely regarded as one of the best all-round manual grinders.",OK - range matches source,
M47 Phoenix,https://honestcoffeeguide.com/kinu-m47-phoenix-grind-settings/,Kinu,M47 Phoenix,0,1400,1400,85,"Stepless (numbered dial, ~5um per division)",16.47058824,"A lighter, more affordable version of the M47 sharing the same 47mm Black Fusion stainless steel conical burrs and stepless adjustment, but with lightweight ABS components, a silicone grip band and an aluminium catch cup (around 780g). It omits the auto-centering technology and easy-hold thumb stopper of the Classic/Simplicity to cut cost and weight. Grind range and resolution match the rest of the M47 line, covering espresso to French press with fine, repeatable adjustment.",OK - range matches source,
M47 Simplicity,https://honestcoffeeguide.com/kinu-m47-simplicity-grind-settings/,Kinu,M47 Simplicity,0,1400,1400,85,"Stepless (numbered dial, ~5um per division)",16.47058824,"A streamlined M47 model with the same 47mm Black Fusion stainless steel conical burrs and auto-centering system as the Classic, paired with a smooth stepless dial featuring a clearly marked zero-point for easy calibration. It weighs around 1050g with a 40g capacity and uses a magnetic catch cup and ABS thumb stopper. Offering adjustments as fine as roughly 5 microns, it handles all brew methods from espresso to cold brew with high consistency.",OK - range matches source,
M47 Traveller,https://honestcoffeeguide.com/kinu-m47-traveller-grind-settings/,Kinu,M47 Traveller,0,1400,1400,58,"Stepless (numbered dial, ~10um per division)",24.13793103,"The lightest and most compact M47 designed for travel, retaining the 47mm Black Fusion stainless steel conical burrs but in a packable, lightweight body. One division on its adjustment wheel changes grind size by about 10 microns, and because the system is stepless, adjustments as fine as 2 microns are possible. It covers the full brew spectrum from espresso to French press while prioritizing portability and durability.",OK - range matches source,
Artisan Coffee Grinder 5KCG0702,https://honestcoffeeguide.com/kitchenaid-artisan-coffee-grinder-5kcg0702-grind-settings/,Kitchenaid,Artisan Coffee Grinder 5KCG0702,280,1070,790,15,External stepped dial,52.66666667,"An electric countertop burr grinder using stainless steel conical burrs driven by a 240W motor at around 450 RPM with a 200g bean hopper. It offers 15 stepped grind settings spanning a 280-1070 micron range, suited to drip, pour over and French press more than fine espresso. Housed in KitchenAid heavy die-cast metal Artisan body (around 4.5kg) for stability, it targets home users wanting a stylish, durable mid-range grinder.",OK - range matches source,
Coffee Grinder 5KCG8433,https://honestcoffeeguide.com/kitchenaid-coffee-grinder-5kcg8433-grind-settings/,Kitchenaid,Coffee Grinder 5KCG8433,240,1130,890,70,External stepped dial,12.71428571,"An electric countertop grinder with commercial-grade stainless steel conical burrs and 70 stepped grind settings covering espresso to French press over a 240-1130 micron range. It features Smart Dosing Technology that auto-adjusts grind time for consistent output, plus anti-static technology to reduce mess, and a 280g bean hopper. Designed as a compact, cabinet-friendly all-rounder for home brewing, with solid grind consistency though it can be tricky to keep clean.",OK - range matches source,
Aergrind,https://honestcoffeeguide.com/knock-aergrind-grind-settings/,Knock,Aergrind,0,1400,1400,200,Stepless (numbered dial),7,"A compact, travel-oriented manual grinder built around 38mm titanium-nitride-coated steel conical burrs in a tough aluminium body, sized to fit inside an AeroPress for portability. Adjustment is stepless via a numbered dial lid, with settings recorded as rotation, number and tick for repeatability, and a bottle-opener pointer indicating the position. It spans espresso to coarse brews and is prized for grind quality relative to its small size.",Range from source (build wave); stepless so micron/step = NA,
Feld2,https://honestcoffeeguide.com/knock-feld2-grind-settings/,Knock,Feld2,0,1400,1400,50,Stepless (numbered dial),28,"An updated version of the original Feldgrind featuring 38mm ceramic-coated steel conical burrs and a machined aluminium unibody design for improved alignment and durability. Adjustment is stepless via a numbered dial lid, recorded as rotation and number for repeatable settings across espresso to French press. It has a longer, wider crank arm and larger wooden knob than the Aergrind for a smoother, more comfortable grind.",Range from source (build wave); stepless so micron/step = NA,
Feld47,https://honestcoffeeguide.com/knock-feld47-grind-settings/,Knock,Feld47,0,1400,1400,250,Stepless (numbered dial),5.6,"A larger Knock manual grinder machined from a single piece of aerospace-grade aluminium for absolute burr concentricity, fitted with 47mm steel burrs that grind roughly 40% faster than the 38mm burrs in the smaller Felds and Aergrind. Its stepless, no-click dial offers very fine resolution of about 2 microns per degree of rotation across the full brewing spectrum. Settings are referenced as rotation, number and tick, making it a high-capacity, precise grinder for both espresso and filter.",Range from source (build wave); stepless so micron/step = NA,
Feldgrind,https://honestcoffeeguide.com/knock-feldgrind-grind-settings/,Knock,Feldgrind,0,1400,1400,50,Stepless (numbered dial),28,"The original full-size Knock manual grinder with 38mm open stainless steel conical burrs in a machined aluminium body, featuring a longer wider crank arm and larger wooden knob than the Aergrind for smoother grinding. Adjustment is stepless via a numbered dial lid, recorded as rotation and number for repeatable settings spanning espresso through coarse French press and cold brew. It is valued for solid build quality and versatile grind range in a portable hand grinder.",Range from source (build wave); stepless so micron/step = NA,
GVX1,https://honestcoffeeguide.com/krups-gvx1-grind-settings/,Krups,GVX1,370,950,580,17,Stepped dial,34.11764706,"An electric flat-burr grinder using stainless steel burrs, with a front dial offering 9 grind-fineness settings and a separate selector for 2-12 cups. An entry-level domestic grinder aimed at drip and filter brewing, not espresso, with a 200g bean hopper. Build is largely plastic with a removable grind chamber, and grind consistency is modest with noticeable fines typical of budget burr grinders.",OK - range matches source,
GVX2,https://honestcoffeeguide.com/krups-gvx2-grind-settings/,Krups,GVX2,370,950,580,17,Stepped dial,34.11764706,"An electric flat stainless-steel burr grinder (Expert series) offering 17 grind settings spanning fine to coarse, plus a cup selector for 2-12 cups. It targets home users brewing drip, French press and pour over rather than true espresso. The housing is mostly plastic with a 200g hopper and removable grind container; grind uniformity is acceptable for the price but produces some fines at finer settings.",OK - range matches source,
GX5000,https://honestcoffeeguide.com/krups-gx5000-grind-settings/,Krups,GX5000,375,1380,1005,45,Stepped dial,22.33333333,"An electric flat-burr grinder (Expert series) with stainless steel burrs and an adjustment system marketed as 45 grind settings, combining 5 coarseness levels with 9 fineness positions. Designed for home brewing across espresso-to-French-press ranges, though best suited to drip and filter methods. It features a 200g hopper, mostly plastic construction and an anti-overflow safety system; consistency is reasonable for a domestic grinder.",OK - range matches source,
GX6000,https://honestcoffeeguide.com/krups-gx6000-grind-settings/,Krups,GX6000,420,1400,980,45,Stepped dial,21.77777778,"An electric flat metal-burr grinder offering 45 grind settings via 5 coarseness and 9 fineness levels, with a digital display and timed dosing for 2-12 cups. A premium home grinder aimed at filter, drip and French press brewing rather than dedicated espresso. Construction mixes metal and plastic with a 250g hopper; some retention and fines are present but it delivers good versatility for everyday domestic use.",OK - range matches source,
EK43 (0-16),https://honestcoffeeguide.com/mahlkonig-ek43-0-16-grind-settings/,Mahlkonig,EK43 (0-16),180,803,623,160,Stepless collar,3.89375,"A commercial benchmark grinder built around 98mm flat steel burrs driven by a powerful direct-drive motor, prized for exceptional unimodal grind distribution and clarity in filter coffee. The (0-16) figure refers to the newer 0-16 numbered dial scale on the adjustment collar; it is the same machine as the 1-11 version, only the dial labeling differs. Adjustment is stepless via a continuously rotating collar, the housing is heavy cast metal, and it is intended for high-volume cafe and roastery use across all brew methods.",OK - range matches source,
EK43 (1-11),https://honestcoffeeguide.com/mahlkonig-ek43-1-11-grind-settings/,Mahlkonig,EK43 (1-11),180,803,623,110,Stepless collar,5.663636364,"The same 98mm flat-burr EK43 commercial grinder, here referenced by the older 1-11 numbered dial scale on the adjustment collar rather than the newer 0-16 scale. It uses hardened steel flat burrs and a stepless adjustment collar for fine, continuous control, delivering the famously clean, uniform EK43 grind across espresso to French press. Construction is robust cast metal for heavy daily throughput; the 0-16 and 1-11 designations are merely different dial markings of an identical machine.",OK - range matches source,
EK43 S,https://honestcoffeeguide.com/mahlkonig-ek43-s-grind-settings/,Mahlkonig,EK43 S,180,803,623,160,Stepless collar,3.89375,"The more compact, cafe-oriented variant of the EK43, retaining the same 98mm flat steel burrs and stepless adjustment collar but in a smaller footprint with a shorter, espresso-friendly chute and bag-clip holder. It excels at both single-dosing espresso and filter work with the hallmark uniform, low-fines EK43 distribution. Build is heavy-duty cast metal for commercial reliability, and adjustment is continuous via a rotating dial measured in rotations from zero.",OK - range matches source,
GH2 (HC880),https://honestcoffeeguide.com/mahlkonig-gh2-hc880-grind-settings/,Mahlkonig,GH2 (HC880),90,1110,1020,17,Stepless collar,60,"A heavy commercial/retail shop grinder built for grinding large volumes for whole-bean retail bagging, using large flat steel burrs and a powerful motor. Adjustment is via a collar marked in lines/numbers giving effectively stepless, fine control across a very wide range from Turkish-fine to coarse. It features a tall bulk hopper and rugged metal construction intended for supermarket and roastery counter use rather than home brewing.",OK - range matches source,
VTA 6S,https://honestcoffeeguide.com/mahlkonig-vta-6s-grind-settings/,Mahlkonig,VTA 6S,170,950,780,13,Stepless collar (labeled),60,"A traditional commercial shop/retail grinder using 120mm flat steel burrs, with a doser and a labeled adjustment collar (Turkish, Fine, Cone, Basket, French Press, Percolator) offering stepless fine adjustment. It is built for high-volume cafe and retail grinding with a large bean hopper and heavy cast-metal body, and supports SSP 120mm burr upgrades for improved grind quality. Intended for traditional espresso and filter service rather than single-dosing.",Stepless collar (Mahlkonig) per official - micron/step NA,
VTA 6S W,https://honestcoffeeguide.com/mahlkonig-vta-6s-w-grind-settings/,Mahlkonig,VTA 6S W,170,950,780,13,Stepless collar (labeled),60,"The white-housing variant of the VTA 6S commercial shop grinder, sharing the same 120mm flat steel burrs, doser and stepless labeled adjustment collar (Turkish through Percolator). Designed for high-throughput cafe and retail use with a large hopper and durable cast-metal construction, and accepts the same SSP 120mm burr upgrades for finer grind tuning. Grind behavior is identical to the standard VTA 6S, differing only in colorway.",Stepless collar (Mahlkonig) per official - micron/step NA,
X54,https://honestcoffeeguide.com/mahlkonig-x54-grind-settings/,Mahlkonig,X54,243,905,662,35,Stepless dial,18.91428571,"A compact home all-rounder grinder built around 54mm flat steel burrs, with a stepless, continuously adjustable dial (numbered roughly 1-35) that handles espresso through French press. It single-doses or uses a small hopper, has a relatively low-retention design with a knocker, and a mostly plastic-and-metal domestic build. It delivers solid grind uniformity for a home grinder, bridging the gap between budget grinders and Mahlkonig commercial models.",OK - range matches source,
Phantox Pro,https://honestcoffeeguide.com/mavo-phantox-pro-grind-settings/,Mavo,Phantox Pro,0,1200,1200,120,External stepped (clicks),10,"A 45mm self-developed 7-axis Star-Tooth stainless steel conical-style burr (37.5mm inner / 45mm outer) with a 160-spike pre-breaker core and an aggressive hatch-cut lower section resembling a ghost burr. CNC aluminum body with external numbered click adjustment (0.0167mm per click). Mid-range manual grinder aimed at all-round use from espresso to pour-over, praised for clarity and an unusually large burr for its price class.",OK - range matches source,
ZM,https://honestcoffeeguide.com/mazzer-zm-grind-settings/,Mazzer,ZM,0,1400,1400,20,Stepless (electronic micron),70,"83mm flat steel burrs driven by a belt-driven 900W motor at ~900 RPM with a double-fan cooling system. Electronic stepper-motor grind adjustment measures true burr gap in microns with TRUE ZERO calibration for repeatability across units. Single-dose capable with sub-0.45g retention; a professional/prosumer grinder for espresso and filter, upgradable with SSP 83mm burrs.",OK - range matches source,
ZM Plus,https://honestcoffeeguide.com/mazzer-zm-plus-grind-settings/,Mazzer,ZM Plus,0,1400,1400,20,Stepless (electronic micron),70,"83mm special-steel flat burrs with digital micron-accurate electronic grind adjustment and TRUE ZERO cross-unit calibration. Low-RPM motor with double-fan cooling and a side-flipping digital display for chamber access. Multifunction single-dose-capable commercial grinder with portafilter holder, filter canister and bag holder for both espresso and filter, upgradable with SSP burrs.",OK - range matches source,
Calibra,https://honestcoffeeguide.com/melitta-calibra-grind-settings/,Melitta,Calibra,390,1400,1010,39,Stepped dial,25.8974359,"Steel conical-burr home grinder with 39 grind settings and an integrated scale offering three dosing modes (cups, weight to the gram, and manual/time). 375g bean hopper and removable grounds container with dishwasher-safe parts. Aimed at everyday filter and cafetiere users (espresso not really in range), valued for accurate weight-based dosing rather than fine espresso resolution.",OK - range matches source,
Molino,https://honestcoffeeguide.com/melitta-molino-grind-settings/,Melitta,Molino,230,1100,870,17,Stepped dial,51.17647059,"Stainless steel flat-burr entry-level electric grinder with 17 fineness settings from espresso (1-3) through filter (4-12) to French press (13-17). 200g bean container, grinds enough for 2-14 cups per cycle, with automatic shut-off to prevent overheating. A budget household grinder best suited to filter and press brewing rather than precise espresso.",OK - range matches source,
Blade R3,https://honestcoffeeguide.com/mhw-3bomber-blade-r3-grind-settings/,MHW-3BOMBER,Blade R3,165,1180,1015,180,External stepped (clicks),5.638888889,"A 48mm 7-core CNC420 stainless steel conical burr with 45-degree cutting edges and HRC55-60 hardness for fast, durable cutting. External numbered click dial moves the burr 16 microns per click across 180 total clicks. A premium manual grinder with external adjustment aimed at both espresso and pour-over, sold with sifting screens in the Pro kit.",OK - range matches source,
D40+,https://honestcoffeeguide.com/miicoffee-d40-plus-grind-settings/,Miicoffee,D40+,90,990,900,80,Stepped clicks over stepless,11.25,"An entry-level single-dose electric grinder with 7-core 40mm stainless steel (420) conical burrs and external adjustment (60 clicks per rotation, ~80 soft clicks) over a stepless base. 150W motor, ~40g hopper, sub-3kg footprint, includes a 58mm magnetic dosing cup. Rebadged as the Turin SD40; positioned as a budget single-dose grinder for espresso, filter and French press.",OK - range matches source,
KM5,https://honestcoffeeguide.com/moccamaster-km5-grind-settings/,Moccamaster,KM5,420,1200,780,9,Stepless dial,86.66666667,"50mm flat steel burrs with a stepless adjustment dial marked 1 (fine) to 9 (coarse), driven by a quiet direct-drive motor that grinds 60g in under 30 seconds. ECBC-certified with a recommended filter setting of 5. A filter-focused home grinder designed to pair with Moccamaster brewers; not intended for espresso.",OK - range matches source,
GU2,https://honestcoffeeguide.com/montwave-gu2-grind-settings/,Montwave,GU2,0,1400,1400,36,External stepped (clicks),38.88888889,"Compact portable manual grinder with 38mm 420 stainless steel hexagonal conical burrs (55-58 HRC) for uniformity and reduced fines. 6063/6061 aluminum-alloy body, ~30g capacity, ~430g weight, fully disassemblable including the burrs. 36-level click adjustment counted by clicks; a budget travel grinder for espresso through French press.",OK - range matches source,
Ultra-Grind,https://honestcoffeeguide.com/mueller-ultra-grind-grind-settings/,Mueller,Ultra-Grind,502,1400,898,16,Stepped dial,56.125,"Hardened alloy steel 40mm conical-burr electric grinder with 16 grind settings and a gear-reduction motor that grinds slowly for reduced noise and heat. Detachable PowderBlock grinding chamber with an embedded cleaning brush, one-touch operation with auto-stop, and a large hopper/grounds capacity. A budget household grinder oriented to drip and press brewing rather than fine espresso.",OK - range matches source,
Zero,https://honestcoffeeguide.com/niche-zero-grind-settings/,Niche,Zero,0,1400,1400,120,Stepless,11.66666667,"63mm hardened steel conical burrs (Mazzer Kony type) with an infinite stepless adjustment dial and a near-zero-retention direct grind path for single dosing. Aluminum body with real oak trim, ~30g bean cup, grinds at 1-2g/sec at low RPM for low heat, with a safety-interlock lid. A popular prosumer single-dose grinder spanning espresso to French press.",OK - range matches source,
Lagom Casa,https://honestcoffeeguide.com/option-o-lagom-casa-grind-settings/,Option-O,Lagom Casa,0,1400,1400,280,Stepless,5,"A compact electric grinder with a choice of 48mm or 65mm in-house Mizen conical burrs and stepless adjustment marked for easy dialing in. CNC-machined aluminum components to sub-10-micron tolerances, a brushless DC motor with planetary gearset, and a built-in clicker giving dynamic retention under 0.1g for single dosing. A versatile single-dose home grinder from espresso to cold brew.",OK - range matches source,
Lagom Mini (Moonshine burrs),https://honestcoffeeguide.com/option-o-lagom-mini-moonshine-burrs-grind-settings/,Option-O,Lagom Mini (Moonshine burrs),0,1400,1400,50,Stepless,28,"An ultra-compact single-dose electric grinder using 48mm in-house Moonshine conical burrs, with stepless adjustment via the threaded single-dose collar tensioned by three internal springs (10 large dots plus 4 minor dots between each). Aerospace-grade aluminum body throughout. A small-footprint multipurpose grinder aimed at espresso and filter for compact setups.",OK - range matches source,
Lagom Mini (Obsidian burrs),https://honestcoffeeguide.com/option-o-lagom-mini-obsidian-burrs-grind-settings/,Option-O,Lagom Mini (Obsidian burrs),0,1400,1400,50,Stepless,28,"The same ultra-compact single-dose Lagom Mini platform fitted with the original 38mm Obsidian conical burrs (since discontinued in favor of Moonshine). Stepless threaded-collar adjustment, spring-tensioned, with a dotted marking scale, in an all-aluminum body. The smaller Obsidian burrs trade some throughput for a very compact multipurpose espresso/filter grinder.",OK - range matches source,
Lagom P64,https://honestcoffeeguide.com/option-o-lagom-p64-grind-settings/,Option-O,Lagom P64,245,1245,1000,100,Stepless,10,"64mm flat burrs (in-house Mizen or SSP Red Speed) with stepless adjustment at 10-micron resolution and variable RPM control (300-1400). 300W BLDC motor, CNC-machined aluminum body with permanent burr alignment and component tolerances of +/-0.02mm. Zero-retention single-dose design (sub-0.1g with RDT) for both espresso and pour-over; a benchmark prosumer flat-burr grinder.",OK - range matches source,
Lido OG,https://honestcoffeeguide.com/orphan-espresso-lido-og-grind-settings/,Orphan Espresso,Lido OG,0,1400,1400,280,Dual (stepped + stepless),5,"An Etzinger hardened steel conical burr set (48mm OD ring burr with 32mm cone) in a large-capacity manual grinder. Dual adjustment with stepped macro and tool-free stepless micro, NTN Japanese roller bearings, a stainless drive train, and an anodized aluminum hopper tube (up to ~50g) with silicone sleeve. Large burrs grind efficiently with low heat and good uniformity across espresso to French press.",OK - range matches source,
Conical Burr Coffee Grinder,https://honestcoffeeguide.com/oxo-conical-burr-coffee-grinder-grind-settings/,Oxo,Conical Burr Coffee Grinder,195,1100,905,15,Stepped dial,60.33333333,"40mm stainless steel conical burrs with 15 main settings and 29 intermediate micro-adjustments for fine to coarse control. Removable upper and lower burrs and a chuteless design for easy cleaning, a one-touch timer that remembers the last setting, and a UV-tinted hopper. A reliable mid-range home grinder best suited to filter, French press and cold brew (entry-level for espresso).","OK - 60 positions, no published micron/step",
Pinion,https://honestcoffeeguide.com/pinecone-pinion-grind-settings/,Pinecone,Pinion,330,1400,1070,35,Stepped dial,30.57142857,"65mm flat steel burrs in a fast, quiet electric grinder spinning at ~3100 RPM idle and grinding ~5-6g/sec (a 17g double in about 4 seconds). Stepped grind adjustment dial, 600g bean hopper, and a modular portafilter/dosing-cup holder. An all-purpose Swiss-made grinder covering espresso through filter coffee for home and light commercial use.","OK - stepped dial, no published micron/step",
Mini,https://honestcoffeeguide.com/porlex-mini-grind-settings/,Porlex,Mini,0,1400,1400,12,Internal stepped nut,116.6666667,"Compact Japanese hand grinder using a 38mm conical ceramic (hardened porcelain) burr set that resists corrosion and stays cool to preserve flavor. Stepped click-style adjustment via a stepped nut under the burr, with roughly 12 usable clicks from zero. The stainless-steel body holds about 20g of beans, making it best for single-cup travel brewing; grind consistency is good for pour-over and AeroPress but coarse French press settings can be a bit inconsistent.",Range per source; live re-verify hit web rate limit,
Mini II,https://honestcoffeeguide.com/porlex-mini-ii-grind-settings/,Porlex,Mini II,0,1400,1400,24,Internal stepped nut,58.33333333,"Updated version of the Mini with a redesigned, finer-stepped adjustment offering about 24 clicks for greater precision, especially in the espresso-to-pour-over range. Retains the 38mm conical ceramic burrs and 304 stainless-steel body, holding roughly 20g of beans. The Mini II adds a larger central axle and improved bean-feeding for better stability and consistency; ideal for travel and single servings.",micron/step 37 per Porlex official,
Tall,https://honestcoffeeguide.com/porlex-tall-grind-settings/,Porlex,Tall,0,1400,1400,12,Internal stepped nut,116.6666667,"Taller sibling of the Mini sharing the same 38mm conical ceramic burr set but with a larger hopper holding around 30g of beans for two cups. Stepped click adjustment provides roughly 12 usable settings from zero. The stainless-steel body fits inside an AeroPress chamber for storage; consistent results for filter and AeroPress brewing, with ceramic burrs that resist heat and corrosion.",Range per source; live re-verify hit web rate limit,
Tall II,https://honestcoffeeguide.com/porlex-tall-ii-grind-settings/,Porlex,Tall II,0,1400,1400,24,Internal stepped nut,58.33333333,"Second-generation Tall with a finer-stepped adjustment offering about 24 clicks for more precise dialing across brew methods. Keeps the 38mm conical ceramic burrs and 304 stainless-steel construction with a ~30g capacity, plus a reinforced central spindle and improved handle for steadier grinding. Well suited to pour-over, AeroPress and French press for one to two cups.",micron/step 37 per Porlex official,
GS30,https://honestcoffeeguide.com/precision-gs30-grind-settings/,Precision,GS30,230,1400,1170,14,Stepless collar,83.57142857,"A budget electric burr grinder built around conical burrs aimed at home brewers wanting an affordable entry point. Uses a continuous/stepless-style adjustment collar for grind size with a usable range skewed toward medium and coarse brew methods rather than fine espresso. Plastic-bodied with a bean hopper and ground catch bin; consistency is adequate for drip, pour-over and French press but less precise at espresso-fine settings.",Range per source; live re-verify hit web rate limit,
Rocky,https://honestcoffeeguide.com/rancilio-rocky-grind-settings/,Rancilio,Rocky,195,1110,915,55,Stepped collar,16.63636364,"Long-running prosumer espresso grinder using commercial-grade 50mm flat steel burrs in a heavy die-cast aluminum and steel body for durability and stability. Stepped collar adjustment provides around 55 click positions, optimized heavily toward the espresso-to-fine range. Robust and serviceable with a powerful motor; excellent for espresso and Moka but its stepped fine adjustment and coarse-range limitations make it less ideal for pour-over or French press.",Range per source; live re-verify hit web rate limit,
Rocky SD,https://honestcoffeeguide.com/rancilio-rocky-sd-grind-settings/,Rancilio,Rocky SD,195,1110,915,55,Stepped collar,16.63636364,"Stepless-doser variant (SD = Senza Dosatore) of the Rocky that omits the dosing chamber for direct grinding into a portafilter or container, otherwise mechanically identical. Same 50mm flat commercial steel burrs, heavy die-cast aluminum body and powerful motor, with roughly 55 stepped click adjustments concentrated in the espresso range. Built for durability and primarily intended for espresso, with limited coarse performance.",Range per source; live re-verify hit web rate limit,
GrinderGC,https://honestcoffeeguide.com/rok-grindergc-grind-settings/,Rok,GrinderGC,195,1010,815,25,Stepped (clicks),32.6,"Manual hand grinder engineered chiefly for espresso, using 48mm conical steel burrs with a double-bearing-supported axle for exceptional stability and low wobble. Stepped adjustment with around 25 usable clicks; it excels at fine espresso grinds but becomes inconsistent past roughly 25 clicks at coarser settings. Solid metal-and-glass construction with a comfortable crank; best paired with manual espresso makers like the ROK presso.",Range per source; live re-verify hit web rate limit,
Millwright Hand Grinder,https://honestcoffeeguide.com/saint-anthony-industries-millwright-hand-grinder-grind-settings/,Saint Anthony Industries,Millwright Hand Grinder,0,1400,1400,98,Stepless,14.28571429,"A premium American-made hand grinder with a magnetically coupled, stepless micro-adjustment system allowing very fine grind tuning across the full espresso-to-cold-brew range. Uses high-grade conical steel burrs in a precision-machined aluminum body with internal bearings for excellent alignment and consistency. Heavier and more refined than typical travel grinders, intended as a versatile single-dose grinder for espresso and filter alike.",Stepless magnetic micro-adjust (Saint Anthony) - micron/step NA,
CGF01,https://honestcoffeeguide.com/smeg-cgf01-grind-settings/,Smeg,CGF01,255,1143,888,30,Stepped dial,29.6,"Retro-styled electric burr grinder with stainless-steel conical burrs and 30 stepped grind settings spanning fine to coarse. Features a die-cast aluminum housing, a 350g bean hopper, anti-static ground container and a digital timer/dose selection for one to twelve cups. Geared toward home users wanting style with adequate consistency; performs well for drip, pour-over and French press but is not optimized for true fine espresso.",Range per source; live re-verify hit web rate limit,
CGF11,https://honestcoffeeguide.com/smeg-cgf11-grind-settings/,Smeg,CGF11,255,1143,888,30,Stepped dial,29.6,"Updated/variant model of Smeg retro coffee grinder retaining stainless-steel conical burrs and 30 stepped grind settings from fine to coarse. Built with a die-cast aluminum body, large bean hopper, anti-static grounds bin and digital dosing for one to twelve cups, with minor feature and finish updates over the CGF01. Best for everyday drip, pour-over and press brewing rather than precision espresso.",Range per source; live re-verify hit web rate limit,
C2,https://honestcoffeeguide.com/timemore-c2-grind-settings/,Timemore,C2,0,950,950,36,External stepped click dial,26.38888889,"Entry-level manual grinder with 38mm stainless steel S2C conical burrs and an external numbered click adjustment dial offering roughly 36 clicks (about 26 microns per click). Built with a textured aluminum body, double-bearing axle for stability, and a folding hand crank in some variants. Best for filter and pour-over brewing; usable for espresso but coarse stepping makes fine espresso dialing imprecise. Good grind uniformity for the price.",Range per source; live re-verify hit web rate limit,
